"player_name";"shot_distance";"intentos";"aciertos";"fgp"
"Pau Gasol";14;153;68;0.444444444444444
"Pau Gasol";15;179;87;0.486033519553073
"Pau Gasol";16;228;102;0.447368421052632
"Pau Gasol";17;262;115;0.438931297709924
"Pau Gasol";18;311;139;0.446945337620579
"Pau Gasol";19;247;105;0.425101214574899
"Pau Gasol";20;152;73;0.480263157894737
"Pau Gasol";21;62;23;0.370967741935484
"Pau Gasol";22;51;22;0.431372549019608
"Pau Gasol";23;79;38;0.481012658227848
"Pau Gasol";24;75;34;0.453333333333333
"Pau Gasol";25;56;18;0.321428571428571
"Russell Westbrook";0;824;606;0.735436893203884
"Russell Westbrook";1;1201;727;0.605328892589509
"Russell Westbrook";2;716;296;0.41340782122905
"Russell Westbrook";3;185;53;0.286486486486487
"Russell Westbrook";4;143;37;0.258741258741259
"Russell Westbrook";5;113;33;0.292035398230089
"Russell Westbrook";6;114;34;0.298245614035088
"Russell Westbrook";7;111;41;0.369369369369369
"Russell Westbrook";8;109;38;0.348623853211009
"Russell Westbrook";9;120;56;0.466666666666667
"Russell Westbrook";10;141;46;0.326241134751773
"Russell Westbrook";11;152;59;0.388157894736842
"Russell Westbrook";12;198;85;0.429292929292929
"Russell Westbrook";13;261;110;0.421455938697318
"Russell Westbrook";14;294;138;0.469387755102041
"Russell Westbrook";15;320;132;0.4125
"Russell Westbrook";16;371;136;0.366576819407008
"Russell Westbrook";17;331;131;0.395770392749245
"Russell Westbrook";18;312;135;0.432692307692308
"Russell Westbrook";19;238;90;0.378151260504202
"Russell Westbrook";20;91;30;0.32967032967033
"Russell Westbrook";21;57;20;0.350877192982456
"Russell Westbrook";22;83;25;0.301204819277108
"Russell Westbrook";23;134;42;0.313432835820896
"Russell Westbrook";24;808;271;0.33539603960396
"Russell Westbrook";25;531;165;0.310734463276836
"Russell Westbrook";26;199;62;0.311557788944724
"Russell Westbrook";27;83;30;0.36144578313253
"Stephen Curry";0;247;180;0.728744939271255
"Stephen Curry";1;573;412;0.719022687609075
